"PackageFile","Sort","Aggregate","FuzzyLookup","FastLoadInactive","NoTABLOCK","LookupPartialNoCache","SELECT*","OLEDBCommand","CartesianCrossJoin","NonSargableFunctionPredicate","OnTheFlyFunctionExpression","NestedViewReference","PivotWindowFunction","UnionAll","NoLockAdvisory","MergeJoinComponent","ImplicitConversionIndicator","ScriptComponent","ADO.NET_or_ODBC_Provider","ExplicitBufferOrThreadSetting","TempStoragePathSetting","DestinationCommitSizeSetting","ExecutePackageTask","CheckpointSetting","FullReloadIndicator"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/GroupSTG_LapHarianTrans.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","6","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/GroupSTG_Master.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_BPS_PNNPerawatan.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_Karyawan.dtsx","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_Kas_PPDO.dtsx","4","0","0","0","0","0","1","0","0","2","0","0","0","0","0","2","6","0","0","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_Premi%20Lembur%20Panen_Detail.dtsx","0","0","0","0","0","0","0","0","0","4","1","3","0","1","0","0","3","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_Purchasing_Process.dtsx","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_SAP_BILLING.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_SAP_FAGLFLEXT.dtsx","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_SAP_Purchasing.dtsx","0","0","0","0","0","0","14","0","0","10","0","0","0","0","0","0","12","0","0","0","0","16","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_SAP_VBAK.dtsx","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_SAP_VBAP.dtsx","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_SAP_VBKD.dtsx","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_SAP_VBRP.dtsx","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_Trans_Gaji.dtsx","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/LKP_Trans_Kode_Absensi.dtsx","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Package1.dtsx","0","0","0","1","0","0","0","2","0","0","0","0","0","880","0","0","0","0","38","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Package3.dtsx","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Package4.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_1SAP_LFA_LFB.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_2MON_COVP_MATNR.dtsx","0","0","0","0","0","0","5","0","0","5","0","1","0","0","0","0","128","0","0","0","0","5","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_2MON_COVP_MILL.dtsx","0","0","0","2","0","0","14","0","0","13","0","4","0","0","0","0","448","0","0","0","0","14","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_2MTR_MAP_IO.dtsx","0","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","34","0","0","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_2SAP_COEPR.dtsx","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_3MON_COS_F01_TD.dtsx","1","0","0","0","0","0","2","0","0","1","0","1","2","0","0","0","16","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_Absensi.dtsx","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","45","0","0","9","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BGASTG_DataBlok.dtsx","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BLOK_t_blok_kk.dtsx","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","29","0","10","2","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_BudgetActivity.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","7","1","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/STG_BPS_Karyawan.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","45","0","0","9","0","0","0"
