"job_id","job_name","step_id","step_name","folder_name","project_name","package_name","execution_count","avg_package_duration_sec","max_package_duration_sec","total_package_duration_sec","succeeded_count","failed_or_unexpected_count","anti_sort","anti_aggregate","anti_fuzzy_lookup","anti_fast_load_inactive","anti_no_tablock","anti_lookup_partial_no_cache","anti_select_star","anti_oledb_command","CartesianCrossJoin","NonSargableFunctionPredicate","OnTheFlyFunctionExpression","NestedViewReference","PivotWindowFunction","UnionAll","NoLockAdvisory","MergeJoinComponent","ImplicitConversionIndicator","ScriptComponent","ADO_NET_or_ODBC_Provider","ExplicitBufferOrThreadSetting","TempStoragePathSetting","DestinationCommitSizeSetting","ExecutePackageTask","CheckpointSetting","FullReloadIndicator","priority_level","priority_basis"
"018BE64A-756D-4AEE-AF14-0793E9B1691C","ESTIMATION_COST_ELEMENT","1","Cost Element Weekly Rate","Project_Fact","COST_ELEMENT_PROJECT","FACT_COST_ELEMENT_RATE.dtsx","2","94.06","98.97","188.12","2","0","0","0","0","0","0","0","0","0","8","0","1","0","0","246","0","0","16","0",,"0","0","4","0","0","0","P2","Material optimization/investigation candidate"
"1082EBDB-3318-4470-A146-8BA64C1E313F","TBS External","1","Staging TBS External","Project_Fact","DAILY_DASHBOARD_PROJECT","STG_TBS_EXTERNAL.dtsx","4","91.22","216.36","364.87","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0",,"0","0","3","0","0","0","P3","Lower-impact or static-only optimization candidate"
"0303C901-DA73-4ECB-9326-738370E32AEF","Tax - Unifikasi","1","Unifkasi","Project_Fact","PPH21_DJP","FACT_UNIFIKASI.dtsx","1","89.02","89.02","89.02","1","0","0","0","0","0","0","0","3","0","10","3","0","0","3","412","0","0","5","0",,"0","0","4","0","0","0","P2","Material optimization/investigation candidate"
"BB4B3E3D-A4EB-4B41-8575-DC4E4C30AB25","DWH_TRAKSI_LHT","3","Fact Traksi AB","Project_Fact","DWH_TRAKSI","FACT_LHT_AB.dtsx","2","87.85","115.49","175.7","2","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0",,"0","0","1","0","0","0","P3","Lower-impact or static-only optimization candidate"
"3B46FF50-48C0-4B31-9CFE-EDD2642D0EDC","SEQUENCE_TABLE_SAP_SALDO_TREASURY","1","STG Saldo Treasury EHP0","Sequence_Table","Sequence_Table","Seq_Staging_SAP_SALDO_TREASURY.dtsx","5","87.46","121.78","437.32","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","9","0",,"0","0","10","0","0","0","P2","Material optimization/investigation candidate"
"94FD1005-44E4-4504-BABB-059DA2FA6936","Payment Realization","2","Fact Payment Realization","Project_Fact","PAYMENT_REALIZATION","Fact_Payment.dtsx","1","83.55","83.55","83.55","1","0","0","0","0","0","0","0","0","0","3","0","0","0","3","177","0","0","0","0",,"0","0","2","0","0","0","P2","Material optimization/investigation candidate"
"C6A9E91D-9B24-4AD8-B2C3-7126C3C75F9B","DWH_Bearer_Plant","3","DWH_FACT_BP_ZVT_MSEGPF","Project_Fact","Bearer_Plant","DWH_FACT_BP_ZVT_MSEGPF.dtsx","1","79.06","79.06","79.06","1","0","13","8","0","0","0","0","0","0","0","1","1","0","0","443","0","10","44","0",,"0","0","1","0","0","0","P2","Material optimization/investigation candidate"
"82F69113-E455-4B30-994C-502EE084690C","DWH_ZVT_MSEGPF","1","ZVT_MSEGPF","MR","SSISMR","DWH_ZVT_MSEGPF.dtsx","2","73.76","106.28","147.52","2","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","2","0",,"0","0","2","0","0","1","P3","Lower-impact or static-only optimization candidate"
"840F2F31-8C8B-41A6-804B-11FEC3E6C541","MILL_COST_and_MILL_ENGINEERING","4","Fact Mill Cost Dashboard","Project_Fact","MILL_COST_PROJECT","FACT_MILL_COST_DASHBOARD.dtsx","1","71.84","71.84","71.84","1","0","0","0","0","0","0","2","2","0","1","0","0","0","2","344","2","0","11","0",,"0","0","3","0","0","0","P2","Material optimization/investigation candidate"
"B37FB395-F8FE-410F-BD05-0159C3640595","Daily Opr - Produksi TBS","6","Fact Summary TBS","Project_Fact","DAILY_DASHBOARD_PROJECT","FACT_DD_SUMMARY.dtsx","6","68.31","108.67","409.89","6","0","0","0","0","0","0","0","0","0","0","18","20","0","0","1770","0","0","0","0",,"0","0","5","0","0","0","P2","Material optimization/investigation candidate"
