package_id,name,package_guid,description,package_format_version,version_major,version_minor,version_build,version_comments,version_guid,project_id,entry_point,validation_status,last_validation_time
95294,DWH_HK_ALOKASI.dtsx,76063B0F-28C4-4646-9F5D-E69171B6A328,,8,1,0,6,,EF38EA20-1A95-4981-9B9C-73988CF7E715,1,1,N,NULL
95231,Group DWH ALL.dtsx,66EFAE50-F10C-440C-9EAF-31F941D56571,,8,1,0,2,,FE837B11-AA9B-4996-8C9A-E50E9D0C3792,1,1,N,NULL
95208,Group DWH LapHarian.dtsx,D0CF6272-E302-4A12-B1B1-EE604324425B,,8,1,0,42,,2CE6C3D1-850A-482B-8DB3-F11C1E288A0E,1,1,N,NULL
95215,Group DWH Panen.dtsx,7B09F9E4-6F5D-4857-A7F2-1FD300756391,,8,1,0,39,,7B25639A-A0E4-454C-8553-3C151BCABCD4,1,1,N,NULL
95316,Group Forecast Daily.dtsx,A288146B-E380-4968-95C2-588589E12EBD,,8,1,0,9,,7B410A87-AB8E-43A4-8295-61D08A7802E2,1,1,N,NULL
95330,Group Forecast Daily_Region.dtsx,76D63CEE-336E-47DA-AF63-00578E874BF5,,8,1,0,13,,E0CA49BB-F44D-4CD1-AF86-686DEEDFA5E9,1,1,N,NULL
95332,Group Forecast Quarter Region.dtsx,D233E888-04B5-4C55-95A1-9F245ADF8A92,,8,1,0,18,,B26C42C1-0D3A-45EE-9736-2ED4A4359884,1,1,N,NULL
95317,Group Forecast Quarter.dtsx,2675A3BD-6443-4359-AAAE-26A140CEB210,,8,1,0,6,,79190A0D-A590-4F1F-B262-A6B9EC9FEC4F,1,1,N,NULL
95328,Group_Forecast_Semester.dtsx,FF9D920E-D79C-4EE9-B441-F1AC7C777F33,,8,1,0,33,,0B60BB22-7206-455B-94A2-193C232964DE,1,1,N,NULL
95331,Group_Forecast_Semester_Region.dtsx,A9524A5B-53BF-4781-90E7-5D9866C2E07F,,8,1,0,20,,99FBD413-4A85-45EB-BA42-11BBEDF1B7D8,1,1,N,NULL
95329,Group_Forecast_Yearly.dtsx,7EC553C4-755B-4804-B88D-D68E4F7AC5E4,,8,1,0,22,,0A820678-2679-47BB-83DA-C94489AD42D3,1,1,N,NULL
95315,Group_Forecast_Yearly_Region.dtsx,651B2EC8-FB68-416D-82E9-D1B83D6D493D,,8,1,0,6,,9001F3E0-3974-4A15-9016-832EAF75F8AC,1,1,N,NULL
95345,Group_LapRH.dtsx,C1F50301-D827-43FB-A600-BD3BB37F0AEB,,8,1,0,161,,B0CE4CFE-FC68-4AD6-B623-B3765DBF40E8,1,1,N,NULL
95278,Group_TBS_Transaksi.dtsx,8DDDFCF4-3FF4-4072-B2EB-4DC5AEE8733D,,8,1,0,40,,057134A4-43D2-460A-8126-DF5B245E840C,1,1,N,NULL
95272,GroupSTG_AR.dtsx,5CFC982C-6491-477D-A2C3-10B6AACB1283,,8,1,0,5,,F50A198C-C326-43EA-9FBD-615832833C39,1,1,N,NULL
95223,GroupSTG_Budget.dtsx,0A5634D6-BEDB-46AF-970D-A2DC49218B0B,,8,1,0,3,,63E2EF7A-013A-47CB-A07D-3347CE315D20,1,1,N,NULL
95224,GroupSTG_Initial_Trans.dtsx,6BBA25ED-5EAC-4768-B27C-418D054E39A0,,8,1,0,4,,3583E97D-BD9F-4242-871A-8D96336D8125,1,1,N,NULL
95270,GroupSTG_LapHarianTrans.dtsx,A16322B5-48EC-4206-8C9D-240D8AA2830A,,8,1,0,66,,3262E990-C447-4411-A4F5-D667C43C13E9,1,1,N,NULL
95225,GroupSTG_Master.dtsx,84C72A8E-1E55-48FC-98CC-AB8B4A721682,,8,1,0,38,,E4DC3908-4E2F-4723-BFE9-520F06DEBBDF,1,1,N,NULL
95283,LKP_BPS_PNNPerawatan.dtsx,940F52E1-8E29-4F41-8022-8D6D4267F89D,,8,1,0,9,,825F54D8-D420-4BC7-AC19-D067CD2429AD,1,1,N,NULL
95287,LKP_Karyawan.dtsx,538EFC22-A21C-4880-B6AB-1EF154DA8B6B,,8,1,0,8,,D819AFDD-DDCD-43EB-AAED-D6503B1F8E5D,1,1,N,NULL
95275,LKP_Kas_PPDO.dtsx,FC88D912-FE26-4520-A47A-A170B83AED5E,,8,1,0,29,,790F9C21-E2E2-434C-8EAB-342D4DF45F8A,1,1,N,NULL
95333,LKP_Premi Lembur Panen_Detail.dtsx,1F847423-EED3-4616-82B2-F448E0CA32B7,,8,1,0,61,,3698A33E-3228-4412-A510-12E5876D4640,1,1,N,NULL
95337,LKP_Purchasing_Process.dtsx,52EC3646-7B85-4F8A-A770-570A3B029E6F,,8,1,0,73,,5B8B3A0C-76BC-4839-9ACE-D6A06835E763,1,1,N,NULL
