job_id,job_name,job_enabled,step_id,step_name,subsystem,database_name,command,on_success_action,on_fail_action,retry_attempts,retry_interval,last_run_outcome
1DC093A3-2313-446F-89F5-F2436FD0E813,INVESTOR RELATION,1,4,PL dan BS,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\INVESTOR_RELATIONS_PROJECT\PL_BS.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
1DC093A3-2313-446F-89F5-F2436FD0E813,INVESTOR RELATION,1,5,Production Summary dan Areal Statement,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\INVESTOR_RELATIONS_PROJECT\PS_AS.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
1DC093A3-2313-446F-89F5-F2436FD0E813,INVESTOR RELATION,1,6,COS dan Cost Element,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\INVESTOR_RELATIONS_PROJECT\COS_CE.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
1DC093A3-2313-446F-89F5-F2436FD0E813,INVESTOR RELATION,1,7,Ratio dan Quarterly Sales,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\INVESTOR_RELATIONS_PROJECT\RATIO_QS.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
F1DDA30D-6D72-4146-A71F-F5D1FBC1BCEB,Komparasi Overhead Metro,1,1,DWH_STG to DWH_DM,SSIS,master,"/ISSERVER ""\""\SSISDB\Komparasi Overhead Metro\Komparasi Overhead Metro\DWH_STG_to_DWH_DM.dtsx\"""" /SERVER ""\""BGASVR-DWH-DEV\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
F1DDA30D-6D72-4146-A71F-F5D1FBC1BCEB,Komparasi Overhead Metro,1,2,SSAS Process,ANALYSISQUERY,Komparasi Overhead Metro,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""Komparasi Overhead Metro""       }     ]   } }",1,2,0,0,1
C33585FE-F49C-4606-9195-454B11AEF3CD,Lap Prod TBS CPO PK,1,1,Lap Prod TBS CPO PK,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\Lap Prod TBS CPO PK\Laporan Produksi TBS CPO PK.dtsx\"""" /SERVER ""\""BGASVR-DWH-DEV\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,1,Set Parameter Job,TSQL,master,"DECLARE @JobID UNIQUEIDENTIFIER, @JobName NVARCHAR(255), @Cmd NVARCHAR(500)  -- Get the Job ID from the SQL Server Agent context SELECT @JobID = job_id  FROM msdb.dbo.sysjobs  WHERE name = 'LAPORAN KEUANGAN KEBUN (LKK)'  -- Replace with the actual job name  -- Get the Job Name SELECT @JobName = name FROM msdb.dbo.sysjobs WHERE job_id = @JobID  -- Build command to create text file --SET @Cmd = 'echo ' + @JobName + ' > E:\SQL_Job_Output\' + @JobName + '.txt' SET @Cmd = 'echo ' + @JobName + ' > E:\SQL_Job_Output\Temp.txt'  -- Enable xp_cmdshell (if not enabled) EXEC sp_configure 'show advanced options', 1 RECONFIGURE EXEC sp_configure 'xp_cmdshell', 1 RECONFIGURE  -- Execute command EXEC xp_cmdshell @Cmd",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,2,Query Check Data,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_SMALLER_FACT\CHECK_QUERY_DATA.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,3,Mapping,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_LKK_PROJECT_NEW\INSERT_MAPPING_BIAYA_TANAMAN.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,1,1,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,4,Fact,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_LKK_PROJECT_NEW\FACT_LKK.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,5,Proses SSAS LKK (Enhancement),ANALYSISQUERY,LKK,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""LKK""       }     ]   } }",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,6,Proses SSAS Cost Element,ANALYSISQUERY,CostElement_SSAS,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""CostElement_SSAS""       }     ]   } }",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,7,Fact TBS Angkut,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\TBS_ANGKUT_PROJECT\UPLOAD_TBS_ANGKUT.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,8,Fact LKK Phase 2,SSIS,master,"/ISSERVER ""\""\SSISDB\LKK Phase 2\LKK Phase 2\STG to DWH.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,9,Proses SSAS LKK Phase 2,ANALYSISQUERY,LkkPhase2,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""LkkPhase2""       }     ]   } }",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,10,Fact Plasma Gapoktan,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_PLASMA_GAPOKTAN\Fact.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,11,Proses SSAS Plasma Gapoktan,ANALYSISQUERY,Gapoktan,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""Gapoktan""       }     ]   } }",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,12,Fact LKK Dashboard,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\LKK Dashboard\FACT_LKK_DASHBOARD.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,13,Proses SSAS LKK Dahboard,ANALYSISQUERY,LKK Dashboard,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""LKK Dashboard""       }     ]   } }",3,2,0,0,1
6D7C9921-843B-4919-B8A6-D42A047543FA,LAPORAN KEUANGAN KEBUN (LKK),1,14,Panen dan Pengendalian Gulma (Call Job),TSQL,msdb,EXEC msdb.dbo.sp_start_job 'LAPORAN PANEN DAN PENGENDALIAN GULMA';,1,2,0,0,1
